2020-08-06 00:00:59,383 - INFO - train.py[:250] - iter: 204255, lr: 0.0001, epoch: 92.76, loss: 6.44, hm_loss: 3.36, box_loss: 1.11, lmdk_loss: 1.96638
2020-08-06 00:01:01,180 - INFO - train.py[:250] - iter: 204265, lr: 0.0001, epoch: 92.76, loss: 6.22, hm_loss: 3.79, box_loss: 0.77, lmdk_loss: 1.66057
2020-08-06 00:01:02,957 - INFO - train.py[:250] - iter: 204275, lr: 0.0001, epoch: 92.77, loss: 7.61, hm_loss: 4.89, box_loss: 1.33, lmdk_loss: 1.39315
2020-08-06 00:01:04,649 - INFO - train.py[:250] - iter: 204285, lr: 0.0001, epoch: 92.77, loss: 6.43, hm_loss: 2.79, box_loss: 0.94, lmdk_loss: 2.70690
2020-08-06 00:01:06,357 - INFO - train.py[:250] - iter: 204295, lr: 0.0001, epoch: 92.78, loss: 3.89, hm_loss: 1.54, box_loss: 1.12, lmdk_loss: 1.23014
2020-08-06 00:01:08,190 - INFO - train.py[:250] - iter: 204305, lr: 0.0001, epoch: 92.78, loss: 7.91, hm_loss: 4.65, box_loss: 1.44, lmdk_loss: 1.81305
2020-08-06 00:01:09,994 - INFO - train.py[:250] - iter: 204315, lr: 0.0001, epoch: 92.79, loss: 6.93, hm_loss: 3.89, box_loss: 0.72, lmdk_loss: 2.32351
2020-08-06 00:01:11,772 - INFO - train.py[:250] - iter: 204325, lr: 0.0001, epoch: 92.79, loss: 2.87, hm_loss: 0.64, box_loss: 0.71, lmdk_loss: 1.51792
2020-08-06 00:01:13,606 - INFO - train.py[:250] - iter: 204335, lr: 0.0001, epoch: 92.79, loss: 3.73, hm_loss: 1.97, box_loss: 0.78, lmdk_loss: 0.98553
2020-08-06 00:01:15,340 - INFO - train.py[:250] - iter: 204345, lr: 0.0001, epoch: 92.80, loss: 8.06, hm_loss: 5.91, box_loss: 0.81, lmdk_loss: 1.33550
2020-08-06 00:01:17,074 - INFO - train.py[:250] - iter: 204355, lr: 0.0001, epoch: 92.80, loss: 5.44, hm_loss: 3.52, box_loss: 0.88, lmdk_loss: 1.04264
2020-08-06 00:01:18,854 - INFO - train.py[:250] - iter: 204365, lr: 0.0001, epoch: 92.81, loss: 6.35, hm_loss: 1.77, box_loss: 1.29, lmdk_loss: 3.29713
2020-08-06 00:01:20,661 - INFO - train.py[:250] - iter: 204375, lr: 0.0001, epoch: 92.81, loss: 3.15, hm_loss: 1.73, box_loss: 0.64, lmdk_loss: 0.77886
2020-08-06 00:01:22,329 - INFO - train.py[:250] - iter: 204385, lr: 0.0001, epoch: 92.82, loss: 2.56, hm_loss: 1.47, box_loss: 0.53, lmdk_loss: 0.56412
