Sort by node name !
Node Name        	Op Type              	Avg(ms)   	%         	Flops Rate 	
ConvertTensor57  	ConvertTensor        	0.017620  	0.011825  	0.001380   	
ConvertTensor65  	ConvertTensor        	0.003540  	0.002376  	0.000005   	
ConvertTensor68  	ConvertTensor        	0.013730  	0.009215  	0.001380   	
ConvertTensor77  	ConvertTensor        	0.018770  	0.012597  	0.001380   	
ConvertTensor85  	ConvertTensor        	0.003790  	0.002544  	0.000005   	
ConvertTensor88  	ConvertTensor        	0.013560  	0.009101  	0.001380   	
ConvertTensor97  	ConvertTensor        	0.015850  	0.010638  	0.001656   	
Sort by time cost !
Node Type            	Avg(ms)    	%         	Called times 	Flops Rate 	
Pooling              	0.092160   	0.061852  	6.000000     	0.000000   	
BinaryOp             	0.125520   	0.084241  	6.000000     	0.008281   	
Sigmoid              	0.269059   	0.180576  	7.000000     	0.002250   	
ConvertTensor        	0.279739   	0.187744  	21.000000    	0.021296   	
Concat               	0.721480   	0.484214  	2.000000     	0.052997   	
UnaryOp              	0.815880   	0.547569  	1.000000     	0.002208   	
Interp               	0.913760   	0.613261  	3.000000     	0.046373   	
Eltwise              	1.609378   	1.080118  	8.000000     	0.055758   	
ConvolutionDepthwise 	9.327232   	6.259876  	9.000000     	1.116648   	
Convolution          	134.849854 	90.503090 	48.000000    	98.694466  	
total time : 149.000290 ms, total mflops : 707.582642 
